Topic,Subtopic,Completed
Introduction to Languages,What is Language?,
Introduction to Languages,Types of languages,
Introduction to Translators,Compiler,
Introduction to Translators,Interpreter,
Scripting Language,What is Scripting Language?,
Scripting Language,Types of Script,
Scripting vs Programming,Programming Languages v/s Scripting Languages,
Scripting vs Programming,Difference between Scripting and Programming languages,
Programming Paradigm,What is programming paradigm?,
Programming Paradigm,Procedural programming paradigm,
Programming Paradigm,Object Oriented Programming paradigm,
Introduction to Python,What is Python?,
Introduction to Python,Why Python?,
Introduction to Python,History,
Introduction to Python,Features – Dynamic Interpreted Object oriented Embeddable Extensible Large standard libraries Free and Open source,
Introduction to Python,Why Python is General Language?,
Introduction to Python,Limitations of Python,
Introduction to Python,What is PSF?,
Introduction to Python,Python implementations,
Introduction to Python,Python applications,
Introduction to Python,Python versions,
Introduction to Python,Python in Realtime Industry,
Introduction to Python,Difference between Python 2.x and 3.x,
Introduction to Python,Difference between Python 3.7 and 3.8,
Software Development Architectures,Software Development Architectures,
Python Software,Python Distributions,
Python Software,Download & Python Installation Process in Windows Unix Linux and Mac,
Python Software,Online Python IDLE,
Python Software,Python Real-time IDEs like Spyder Jupyter Note Book PyCharm Rodeo Visual Studio Code ATOM PyDev etc,
Python Language Fundamentals,Python Implementation Alternatives/Flavors,
Python Language Fundamentals,Keywords,
Python Language Fundamentals,Identifiers,
Python Language Fundamentals,Constants / Literals,
Python Language Fundamentals,Data types,
Python Language Fundamentals,Python VS JAVA,
Python Language Fundamentals,Python Syntax,
Different Modes of Python,Interactive Mode,
Different Modes of Python,Scripting Mode,
Programming Elements,Structure of Python program,
Programming Elements,First Python Application,
Programming Elements,Comments in Python,
Programming Elements,Python file extensions,
Programming Elements,Setting Path in Windows,
Programming Elements,Edit and Run python program without IDE,
Programming Elements,Edit and Run python program using IDEs,
Programming Elements,Inside Python,
Programming Elements,Programmers View of Interpreter,
Programming Elements,Inside Interpreter,
Programming Elements,What is Byte Code in Python?,
Programming Elements,Python Debugger,
Python Variables,Python Variables,
Python Variables,bytes Data Type,
Python Variables,byte array,
Python Variables,String Formatting in Python,
Python Variables,Math Random Secrets Modules,
Python Variables,Initialization of variables,
Python Variables,Local variables,
